id;name;description;stock;price;image;image_content_type
1;Acero;Asistente;57374;81236;../fake-data/blob/hipster.png;image/png
2;superestructura navigate;Chilean reboot Inversor;70131;46955;../fake-data/blob/hipster.png;image/png
3;withdrawal THX División;Metal;83023;40879;../fake-data/blob/hipster.png;image/png
4;Castilla de Subida;logística conjunto Artesanal;32770;54278;../fake-data/blob/hipster.png;image/png
5;Pelota Pequeño;Ordenador CFP Negro;9548;46269;../fake-data/blob/hipster.png;image/png
6;mobile País auxiliary;COM Implementación Genérico;52784;27331;../fake-data/blob/hipster.png;image/png
7;withdrawal invoice;Bicicleta Zapatos Avenida;20319;26845;../fake-data/blob/hipster.png;image/png
8;pixel móbil quantifying;rich de Interno;79521;23086;../fake-data/blob/hipster.png;image/png
9;Ordenador Andalucía mobile;AGP Violeta;71562;77577;../fake-data/blob/hipster.png;image/png
10;Gris solución;Mancha Ergonómico Ergonómico;5859;10526;../fake-data/blob/hipster.png;image/png
